danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
0.613,0.618,8,-11.831,0,0.257,0.568,0.0,0.727,0.94,172.741,audio_features,49fzPkBb3aOUWYRKaTWVhm,spotify:track:49fzPkBb3aOUWYRKaTWVhm,https://api.spotify.com/v1/tracks/49fzPkBb3aOUWYRKaTWVhm,https://api.spotify.com/v1/audio-analysis/49fzPkBb3aOUWYRKaTWVhm,118267,4,best_of-blues_jazz_soul.csv
0.805,0.558,0,-5.226,1,0.041,0.164,2.2e-05,0.0546,0.965,114.95,audio_features,7s25THrKz86DM225dOYwnr,spotify:track:7s25THrKz86DM225dOYwnr,https://api.spotify.com/v1/tracks/7s25THrKz86DM225dOYwnr,https://api.spotify.com/v1/audio-analysis/7s25THrKz86DM225dOYwnr,147600,4,best_of-blues_jazz_soul.csv
0.365,0.568,10,-5.431,1,0.0338,0.835,8.01e-06,0.364,0.559,103.068,audio_features,3bRY8rf0zDJdfc5krsSp4C,spotify:track:3bRY8rf0zDJdfc5krsSp4C,https://api.spotify.com/v1/tracks/3bRY8rf0zDJdfc5krsSp4C,https://api.spotify.com/v1/audio-analysis/3bRY8rf0zDJdfc5krsSp4C,141893,3,best_of-blues_jazz_soul.csv
0.539,0.24,3,-16.632,0,0.0426,0.687,5.12e-05,0.133,0.567,80.816,audio_features,3SQ9Hb9rfpJ02AWfaOPhpy,spotify:track:3SQ9Hb9rfpJ02AWfaOPhpy,https://api.spotify.com/v1/tracks/3SQ9Hb9rfpJ02AWfaOPhpy,https://api.spotify.com/v1/audio-analysis/3SQ9Hb9rfpJ02AWfaOPhpy,167373,3,best_of-blues_jazz_soul.csv
0.578,0.549,5,-5.925,1,0.0291,0.349,0.0,0.0866,0.699,109.208,audio_features,0ILWeU6bcdqWejX0ILu8vG,spotify:track:0ILWeU6bcdqWejX0ILu8vG,https://api.spotify.com/v1/tracks/0ILWeU6bcdqWejX0ILu8vG,https://api.spotify.com/v1/audio-analysis/0ILWeU6bcdqWejX0ILu8vG,167080,4,best_of-blues_jazz_soul.csv
0.42,0.398,6,-9.13,0,0.0296,0.755,0.000537,0.172,0.364,88.897,audio_features,0sjxRg1VlYfx4YG7uxurrq,spotify:track:0sjxRg1VlYfx4YG7uxurrq,https://api.spotify.com/v1/tracks/0sjxRg1VlYfx4YG7uxurrq,https://api.spotify.com/v1/audio-analysis/0sjxRg1VlYfx4YG7uxurrq,155027,3,best_of-blues_jazz_soul.csv
0.325,0.225,0,-8.672,1,0.0279,0.416,0.00133,0.237,0.417,83.461,audio_features,6RPTzg3AcmBE1BNtMELmLU,spotify:track:6RPTzg3AcmBE1BNtMELmLU,https://api.spotify.com/v1/tracks/6RPTzg3AcmBE1BNtMELmLU,https://api.spotify.com/v1/audio-analysis/6RPTzg3AcmBE1BNtMELmLU,181933,3,best_of-blues_jazz_soul.csv
0.82,0.665,4,-8.903,1,0.0611,0.194,0.1,0.142,0.802,130.1,audio_features,4bpR5ueJGgjcO6QmKP5FHH,spotify:track:4bpR5ueJGgjcO6QmKP5FHH,https://api.spotify.com/v1/tracks/4bpR5ueJGgjcO6QmKP5FHH,https://api.spotify.com/v1/audio-analysis/4bpR5ueJGgjcO6QmKP5FHH,257040,4,best_of-blues_jazz_soul.csv
0.568,0.518,0,-11.409,1,0.0465,0.741,0.0,0.0532,0.791,135.097,audio_features,4Qcjd9oQjWfbihYK7oievR,spotify:track:4Qcjd9oQjWfbihYK7oievR,https://api.spotify.com/v1/tracks/4Qcjd9oQjWfbihYK7oievR,https://api.spotify.com/v1/audio-analysis/4Qcjd9oQjWfbihYK7oievR,131240,3,best_of-blues_jazz_soul.csv
0.592,0.355,9,-14.051,1,0.0352,0.478,0.0,0.0585,0.499,133.032,audio_features,3NfxSdJnVdon1axzloJgba,spotify:track:3NfxSdJnVdon1axzloJgba,https://api.spotify.com/v1/tracks/3NfxSdJnVdon1axzloJgba,https://api.spotify.com/v1/audio-analysis/3NfxSdJnVdon1axzloJgba,216773,4,best_of-blues_jazz_soul.csv
0.603,0.271,5,-10.083,1,0.0284,0.679,0.0,0.141,0.405,110.89,audio_features,5K09WxKdlkroDyEVyOSySy,spotify:track:5K09WxKdlkroDyEVyOSySy,https://api.spotify.com/v1/tracks/5K09WxKdlkroDyEVyOSySy,https://api.spotify.com/v1/audio-analysis/5K09WxKdlkroDyEVyOSySy,165333,3,best_of-blues_jazz_soul.csv
0.54,0.681,4,-5.44,1,0.0508,0.808,0.0,0.162,0.794,88.385,audio_features,5yQ9iMZXGcr5rlO4hoLsP4,spotify:track:5yQ9iMZXGcr5rlO4hoLsP4,https://api.spotify.com/v1/tracks/5yQ9iMZXGcr5rlO4hoLsP4,https://api.spotify.com/v1/audio-analysis/5yQ9iMZXGcr5rlO4hoLsP4,307053,4,best_of-blues_jazz_soul.csv
0.399,0.326,7,-9.239,0,0.0386,0.864,0.0,0.191,0.546,79.206,audio_features,6Rqn2GFlmvmV4w9Ala0I1e,spotify:track:6Rqn2GFlmvmV4w9Ala0I1e,https://api.spotify.com/v1/tracks/6Rqn2GFlmvmV4w9Ala0I1e,https://api.spotify.com/v1/audio-analysis/6Rqn2GFlmvmV4w9Ala0I1e,174000,4,best_of-blues_jazz_soul.csv
0.747,0.243,4,-15.134,0,0.124,0.829,1.02e-06,0.0905,0.426,118.661,audio_features,5Lhjlnly9Ynhf52ojQS534,spotify:track:5Lhjlnly9Ynhf52ojQS534,https://api.spotify.com/v1/tracks/5Lhjlnly9Ynhf52ojQS534,https://api.spotify.com/v1/audio-analysis/5Lhjlnly9Ynhf52ojQS534,215747,4,best_of-blues_jazz_soul.csv
0.418,0.517,7,-8.97,0,0.0701,0.683,0.00886,0.102,0.381,185.395,audio_features,4kqlHVYwkpLI1FzhVBAVZM,spotify:track:4kqlHVYwkpLI1FzhVBAVZM,https://api.spotify.com/v1/tracks/4kqlHVYwkpLI1FzhVBAVZM,https://api.spotify.com/v1/audio-analysis/4kqlHVYwkpLI1FzhVBAVZM,287573,3,best_of-blues_jazz_soul.csv
0.441,0.338,11,-11.105,0,0.0346,0.201,0.0415,0.303,0.401,150.516,audio_features,58DBGys2swRUOGDU5OhnfZ,spotify:track:58DBGys2swRUOGDU5OhnfZ,https://api.spotify.com/v1/tracks/58DBGys2swRUOGDU5OhnfZ,https://api.spotify.com/v1/audio-analysis/58DBGys2swRUOGDU5OhnfZ,170840,3,best_of-blues_jazz_soul.csv
0.381,0.501,7,-8.0,0,0.0644,0.414,0.746,0.105,0.49,187.86,audio_features,4nygXC8oJzcsXTj9kEMcw1,spotify:track:4nygXC8oJzcsXTj9kEMcw1,https://api.spotify.com/v1/tracks/4nygXC8oJzcsXTj9kEMcw1,https://api.spotify.com/v1/audio-analysis/4nygXC8oJzcsXTj9kEMcw1,463493,4,best_of-blues_jazz_soul.csv
0.212,0.383,10,-10.071,1,0.0347,0.723,0.0,0.299,0.452,173.79,audio_features,0KOE1hat4SIer491XKk4Pa,spotify:track:0KOE1hat4SIer491XKk4Pa,https://api.spotify.com/v1/tracks/0KOE1hat4SIer491XKk4Pa,https://api.spotify.com/v1/audio-analysis/0KOE1hat4SIer491XKk4Pa,191160,3,best_of-blues_jazz_soul.csv
0.477,0.433,11,-6.473,0,0.0247,0.689,0.000195,0.151,0.611,82.52,audio_features,1kPBT8S2wJFNAyBMnGVZgL,spotify:track:1kPBT8S2wJFNAyBMnGVZgL,https://api.spotify.com/v1/tracks/1kPBT8S2wJFNAyBMnGVZgL,https://api.spotify.com/v1/audio-analysis/1kPBT8S2wJFNAyBMnGVZgL,156653,3,best_of-blues_jazz_soul.csv
0.545,0.194,10,-13.415,1,0.033,0.905,0.000332,0.0805,0.419,105.36,audio_features,5UIq2zbapMbSU7Z2SEq8j0,spotify:track:5UIq2zbapMbSU7Z2SEq8j0,https://api.spotify.com/v1/tracks/5UIq2zbapMbSU7Z2SEq8j0,https://api.spotify.com/v1/audio-analysis/5UIq2zbapMbSU7Z2SEq8j0,162427,3,best_of-blues_jazz_soul.csv
0.529,0.44,5,-9.11,1,0.0302,0.742,1.05e-05,0.328,0.611,103.669,audio_features,4YkN3JlceD5n2aMqL1kFnH,spotify:track:4YkN3JlceD5n2aMqL1kFnH,https://api.spotify.com/v1/tracks/4YkN3JlceD5n2aMqL1kFnH,https://api.spotify.com/v1/audio-analysis/4YkN3JlceD5n2aMqL1kFnH,157387,3,best_of-blues_jazz_soul.csv
0.705,0.806,9,-3.607,1,0.0309,0.0132,0.00428,0.0701,0.734,103.383,audio_features,4zQuwW24dweWcaX0fEJkP2,spotify:track:4zQuwW24dweWcaX0fEJkP2,https://api.spotify.com/v1/tracks/4zQuwW24dweWcaX0fEJkP2,https://api.spotify.com/v1/audio-analysis/4zQuwW24dweWcaX0fEJkP2,256947,4,best_of-blues_jazz_soul.csv
